OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityStartDate,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ProjectName,MonitoringLocationIdentifier,MonitoringLocationName,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-48_20000627_00Q4STC48-3,Sample-Routine,6/27/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-48,Long Reef Back Reef West,17.759467,-64.723917,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-48_20000907_00Q4STC48-3,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-48,Long Reef Back Reef West,17.759467,-64.723917,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-49_20000907_00Q4STC49-31229,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-49,Long Reef Back Reef East,17.753782,-64.704117,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-6_20000630_00Q4STC6-3,Sample-Routine,6/30/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-6,Buck Island Beach,17.786645,-64.627925,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-34_20000630_00Q4STC34-31025,Sample-Routine,6/30/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-34,St. Croix by the Sea,17.7677,-64.734283,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-6_20000907_00Q4STC6-3,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-6,Buck Island Beach,17.786645,-64.627925,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-13B_20000907_00Q4STC13B-3,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-13B,Robin Bay,17.720983,-64.63515,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-42_20001218_00Q4STC42-3,Sample-Routine,12/18/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-42,Public Wharf,17.7476,-64.70335,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-42_20000627_00Q4STC42-3,Sample-Routine,6/27/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-42,Public Wharf,17.7476,-64.70335,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-22A_20000907_00Q4STC22A-3,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-22A,Treatment Plant (POTW) Outfall,17.67865,-64.7728,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-27_20000629_00Q4STC27-3,Sample-Routine,6/29/00,Surface,,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-27,Sandy Point Public Beach,17.692033,-64.89365,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-1_20000907_00Q4STC1-31091,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-1,Altona Lagoon Recreation Beach,17.753533,-64.695667,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-45_20000627_00Q4STC45-3,Sample-Routine,6/27/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-45,Christiansted Harbor,17.750033,-64.705467,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-34_20000630_00Q4STC34-3,Sample-Routine,6/30/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-34,St. Croix by the Sea,17.7677,-64.734283,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-23_20000907_00Q4STC23-3,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-23,Public Dump,17.6941,-64.78355,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-47_20000627_00Q4STC47-31064,Sample-Routine,6/27/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-47,Mill Harbor Condominium Beach,17.75565,-64.720233,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-13A_20000629_00Q4STC13A-3,Sample-Routine,6/29/00,Surface,,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-13A,Great Pond Bay,17.721633,-64.651467,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-8_20000907_00Q4STC8-31241,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-8,Reef Club Beach,17.75715,-64.60885,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-6_20001218_00Q4STC6-3,Sample-Routine,12/18/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-6,Buck Island Beach,17.786645,-64.627925,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-24B_20001230_00Q4STC24B3,Sample-Routine,12/30/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-24B,Rum Plant Outfall,17.682233,-64.818783,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-16_20001230_00Q4STC16-3,Sample-Routine,12/30/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-16,"HOVENSA East Turning Basin, NW Corner",17.7001,-64.748683,Fecal Coliform,328,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-23_20001230_00Q4STC23-3,Sample-Routine,12/30/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-23,Public Dump,17.6941,-64.78355,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-28_20000907_00Q4STC28-3,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-28,Frederiksted Pier,17.713917,-64.884617,Fecal Coliform,5,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-45_20000907_00Q4STC45-3,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-45,Christiansted Harbor,17.750033,-64.705467,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-36_20000928_00Q4STC36-31187,Sample-Routine,9/28/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-36,Long Reef Fore reef East,17.760283,-64.701033,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-3_20000627_00Q4STC3-31007,Sample-Routine,6/27/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-3,Buccaneer Hotel,17.757333,-64.682817,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-29_20000907_00Q4STC29-31160,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-29,Frederiksted Public Beach,17.7162,-64.884433,Fecal Coliform,5,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-38_20000907_00Q4STC38-31193,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-38,Christiansted Harbor Entrance East,17.757367,-64.69515,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-42_20000627_00Q4STC42-31049,Sample-Routine,6/27/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-42,Public Wharf,17.7476,-64.70335,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-26_20000907_00Q4STC26-31151,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-26,Good Hope Beach,17.68375,-64.860567,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-20_20000629_00Q4STC20-3,Sample-Routine,6/29/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-20,Alumina Plant Dock,17.707883,-64.7712,Fecal Coliform,2,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-32_20000630_00Q4STC32-31016,Sample-Routine,6/30/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-32,Cane Bay,17.773483,-64.811817,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-33_20000630_00Q4STC33-31019,Sample-Routine,6/30/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-33,Salt River Marina,17.775167,-64.761833,Fecal Coliform,2,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-27_20000907_00Q4STC27-31154,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-27,Sandy Point Public Beach,17.692033,-64.89365,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-36_20000627_00Q4STC36-3,Sample-Routine,6/27/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-36,Long Reef Fore reef East,17.760283,-64.701033,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-34_20000928_00Q4STC34-31181,Sample-Routine,9/28/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-34,St. Croix by the Sea,17.7677,-64.734283,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-45_20000627_00Q4STC45-31058,Sample-Routine,6/27/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-45,Christiansted Harbor,17.750033,-64.705467,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-19_20000907_00Q4STC19-3,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-19,Krause Lagoon Channel,17.694382,-64.763883,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-47_20001218_00Q4STC47-3,Sample-Routine,12/18/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-47,Mill Harbor Condominium Beach,17.75565,-64.720233,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-30_20000629_00Q4STC30-31010,Sample-Routine,6/29/00,Surface,,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-30,Sprat Hall Beach,17.7356,-64.89095,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-34_20000928_00Q4STC34-3,Sample-Routine,9/28/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-34,St. Croix by the Sea,17.7677,-64.734283,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-45_20000907_00Q4STC45-31217,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-45,Christiansted Harbor,17.750033,-64.705467,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-17_20001230_00Q4STC17-3,Sample-Routine,12/30/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-17,"HOVENSA West Turning Basin, NW Corner",17.69895,-64.754017,Fecal Coliform,1,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-28_20000907_00Q4STC28-31157,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-28,Frederiksted Pier,17.713917,-64.884617,Fecal Coliform,5,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-16_20000907_00Q4STC16-3,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-16,"HOVENSA East Turning Basin, NW Corner",17.7001,-64.748683,Fecal Coliform,1,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-36_20000627_00Q4STC36-31031,Sample-Routine,6/27/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-36,Long Reef Fore reef East,17.760283,-64.701033,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-48_20000627_00Q4STC48-31067,Sample-Routine,6/27/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-48,Long Reef Back Reef West,17.759467,-64.723917,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-35A_20000627_00Q4STC35A31028,Sample-Routine,6/27/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-35A,LBJ (Pump Station) Outfall,17.759567,-64.71495,Fecal Coliform,1,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-15_20000629_00Q4STC15-3,Sample-Routine,6/29/00,Surface,,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-15,Cane Garden Bay,17.7,-64.738533,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-9_20000907_00Q4STC9-3,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-9,St. Croix Yacht Club Beach,17.75565,-64.602333,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-37_20000627_00Q4STC37-3,Sample-Routine,6/27/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-37,Christiansted Harbor Entrance West,17.755317,-64.700283,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-31_20000907_00Q4STC31-3,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-31,Davis Bay,17.76345,-64.834133,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-48_20001218_00Q4STC48-3,Sample-Routine,12/18/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-48,Long Reef Back Reef West,17.759467,-64.723917,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-45_20001218_00Q4STC45-3,Sample-Routine,12/18/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-45,Christiansted Harbor,17.750033,-64.705467,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-8_20000630_00Q4STC8-3,Sample-Routine,6/30/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-8,Reef Club Beach,17.75715,-64.60885,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-42_20000907_00Q4STC42-3,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-42,Public Wharf,17.7476,-64.70335,Fecal Coliform,1,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-5_20000630_00Q4STC5-3,Sample-Routine,6/30/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-5,Green Cay Beach,17.761758,-64.666935,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-14A_20000907_00Q4STC14A-3,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-14A,Halfpenny Bay u Manchenil,17.703133,-64.70725,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-30_20000629_00Q4STC30-3,Sample-Routine,6/29/00,Surface,,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-30,Sprat Hall Beach,17.7356,-64.89095,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-9_20000907_00Q4STC9-31244,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-9,St. Croix Yacht Club Beach,17.75565,-64.602333,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-19_20000907_00Q4STC19-31127,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-19,Krause Lagoon Channel,17.694382,-64.763883,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-44_20000627_00Q4STC44-3,Sample-Routine,6/27/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-44,Protestant Cay Beach,17.749267,-64.703782,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-25_20001230_00Q4STC25-3,Sample-Routine,12/30/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-25,Long Point,17.676433,-64.837883,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-40_20000627_00Q4STC40-31043,Sample-Routine,6/27/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-40,St. Croix Marine,17.748217,-64.698483,Fecal Coliform,232,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-13B_20000629_00Q4STC13B-3,Sample-Routine,6/29/00,Surface,,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-13B,Robin Bay,17.720983,-64.63515,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-2_20000907_00Q4STC2-31130,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-2,Ft. Louise Augusta Beach,17.755367,-64.692448,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-13B_20000907_00Q4STC13B-31106,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-13B,Robin Bay,17.720983,-64.63515,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-22A_20000629_00Q4STC22A3,Sample-Routine,6/29/00,Surface,,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-22A,Treatment Plant (POTW) Outfall,17.67865,-64.7728,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-24B_20000907_00Q4STC24B-31145,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-24B,Rum Plant Outfall,17.682233,-64.818783,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-31_20000907_00Q4STC31-31169,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-31,Davis Bay,17.76345,-64.834133,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-46_20000627_00Q4STC46-3,Sample-Routine,6/27/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-46,WAPA Intake,17.750732,-64.712783,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-13B_20001230_00Q4STC13B-3,Sample-Routine,12/30/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-13B,Robin Bay,17.720983,-64.63515,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-28_20000629_00Q4STC28-31001,Sample-Routine,6/29/00,Surface,,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-28,Frederiksted Pier,17.713917,-64.884617,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-44_20000627_00Q4STC44-31055,Sample-Routine,6/27/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-44,Protestant Cay Beach,17.749267,-64.703782,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-25_20000907_00Q4STC25-31148,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-25,Long Point,17.676433,-64.837883,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-37_20000907_00Q4STC37-3,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-37,Christiansted Harbor Entrance West,17.755317,-64.700283,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-32_20000630_00Q4STC32-3,Sample-Routine,6/30/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-32,Cane Bay,17.773483,-64.811817,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-24B_20000629_00Q4STC24B3,Sample-Routine,6/29/00,Surface,,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-24B,Rum Plant Outfall,17.682233,-64.818783,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-44_20001218_00Q4STC44-3,Sample-Routine,12/18/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-44,Protestant Cay Beach,17.749267,-64.703782,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-1_20000907_00Q4STC1-3,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-1,Altona Lagoon Recreation Beach,17.753533,-64.695667,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-41_20001218_00Q4STC41-3,Sample-Routine,12/18/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-41,Gallows Bay,17.746633,-64.698598,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-9_20000630_00Q4STC9-3,Sample-Routine,6/30/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-9,St. Croix Yacht Club Beach,17.75565,-64.602333,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-8_20001218_00Q4STC8-3,Sample-Routine,12/18/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-8,Reef Club Beach,17.75715,-64.60885,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-19_20000629_00Q4STC19-3,Sample-Routine,6/29/00,Surface,,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-19,Krause Lagoon Channel,17.694382,-64.763883,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-40_20000627_00Q4STC40-3,Sample-Routine,6/27/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-40,St. Croix Marine,17.748217,-64.698483,Fecal Coliform,232,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-26_20000629_00Q4STC26-3,Sample-Routine,6/29/00,Surface,,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-26,Good Hope Beach,17.68375,-64.860567,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-39_20000627_00Q4STC39-3,Sample-Routine,6/27/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-39,Altona Lagoon Inlet,17.749917,-64.696333,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-32_20000907_00Q4STC32-31172,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-32,Cane Bay,17.773483,-64.811817,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-2_20000907_00Q4STC2-3,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-2,Ft. Louise Augusta Beach,17.755367,-64.692448,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-47_20000907_00Q4STC47-31223,Sample-Routine,9/7/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-47,Mill Harbor Condominium Beach,17.75565,-64.720233,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-29_20000629_00Q4STC29-31004,Sample-Routine,6/29/00,Surface,,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-29,Frederiksted Public Beach,17.7162,-64.884433,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-3_20000627_00Q4STC3-3,Sample-Routine,6/27/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-3,Buccaneer Hotel,17.757333,-64.682817,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-26_20001230_00Q4STC26-3,Sample-Routine,12/30/00,Surface,0.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-26,Good Hope Beach,17.68375,-64.860567,Fecal Coliform,0,#/100ml
